#Tag1,Tag2,Startframe,Stopframe,Starttime,Stoptime,Box,Xcoor1,Ycoor1,Angle1,Xcoor2,Ycorr2,Angle2,Direction,Detections
25,44,607701,607706,1390260882.55,1390260885.05,62,2055,3692,9577,2108,3468,-5961,2,6
25,44,607710,607710,1390260887.05,1390260887.05,62,1992,3488,1594,2293,3564,-5178,1,1
25,220,608259,608269,1390261161.54,1390261166.54,62,461,640,-10995,317,816,5321,0,10
25,220,608274,608291,1390261169.04,1390261177.54,62,429,857,11909,310,782,5377,10,16
25,220,608304,608305,1390261184.04,1390261184.54,62,692,892,15194,535,805,-10877,1,2
25,220,608320,608323,1390261192.04,1390261193.54,62,583,493,13912,355,494,-2865,0,4
44,215,608469,608469,1390261266.54,1390261266.54,62,1056,1837,15321,1376,1866,-15566,-1,1
25,178,608505,608509,1390261284.54,1390261286.54,62,925,1872,4926,1224,1801,-17373,1,5
25,178,608517,608556,1390261290.54,1390261310.04,62,724,1496,-11140,730,1693,8815,-5,36
25,178,608568,608574,1390261316.04,1390261319.04,62,1047,1627,14377,873,1501,2846,6,6
25,192,608587,608588,1390261325.54,1390261326.04,62,814,1375,13644,631,1465,-142,-2,2
192,178,608594,608594,1390261329.04,1390261329.04,62,657,1494,-3092,845,1512,3546,1,1
25,178,608599,608600,1390261331.54,1390261332.04,62,881,1394,16944,845,1529,3846,-2,2
25,192,608624,608624,1390261344.03,1390261344.03,62,1967,199,2094,1680,362,7007,-1,1
192,220,609762,609777,1390261913.01,1390261920.51,62,1141,1824,15376,1012,1695,-4402,10,15
192,220,609783,609783,1390261923.51,1390261923.51,62,1100,1608,4007,1095,1510,-17378,1,1
192,220,609822,609826,1390261943.01,1390261945,62,1146,2233,-5531,1272,2387,-10935,5,5
192,220,609841,609842,1390261952.5,1390261953,62,906,2361,-7292,1036,2145,17271,-2,2
25,220,609842,609849,1390261953,1390261956.5,62,1228,2033,-10860,1008,2129,16520,8,8
192,220,609854,609855,1390261959,1390261959.5,62,340,2421,12056,356,2158,-12028,0,2
25,192,609860,609862,1390261962,1390261963,62,531,2396,-14638,359,2478,10740,3,3
25,192,609876,609876,1390261970,1390261970,62,370,2556,-16405,266,2533,9607,1,1
44,220,610106,610106,1390262085,1390262085,62,822,1418,5421,787,1699,10121,-1,1
25,215,610210,610210,1390262137,1390262137,62,943,1442,11594,747,1357,1233,0,1
44,215,610215,610215,1390262139.5,1390262139.5,62,1124,2076,-9378,965,1795,-3766,-1,1
25,592,610798,610802,1390262431,1390262432.99,62,2245,2642,-8928,2043,2728,5959,-5,5
25,592,610815,610836,1390262439.48,1390262449.98,62,2267,2565,-12130,2109,2572,3180,-9,20
178,592,610844,610844,1390262453.98,1390262453.98,62,2737,2819,13946,2583,2492,-11282,-1,1
25,178,610845,610865,1390262454.48,1390262464.48,62,2351,2491,-4257,2356,2672,12245,-7,19
25,592,610850,610864,1390262456.98,1390262463.98,62,2352,2484,-4112,2601,2509,-12895,-6,14
178,592,610882,610923,1390262472.98,1390262493.48,62,2486,2409,-15682,2280,2500,2213,1,31
25,592,610882,610886,1390262472.98,1390262474.98,62,2341,2483,-5765,2183,2594,2895,-5,5
25,178,610883,610887,1390262473.48,1390262475.48,62,2340,2486,-5665,2496,2399,-15196,-5,5
25,178,610912,610916,1390262487.98,1390262489.98,62,2361,2537,-2843,2481,2400,-17613,-5,5
178,592,610939,610946,1390262501.48,1390262504.98,62,2451,2384,-14340,2344,2361,7420,4,8
25,178,610944,610966,1390262503.98,1390262514.98,62,2321,2542,5212,2418,2379,-15067,-4,20
25,592,610957,610959,1390262510.48,1390262511.48,62,2357,2534,4994,2482,2251,-4382,-3,3
25,592,610968,610971,1390262515.98,1390262517.48,62,2238,2134,1225,2482,2254,-3882,3,3
25,592,610977,610995,1390262520.48,1390262529.48,62,2275,2140,70,2481,2331,-6228,15,15
25,592,611002,611003,1390262532.98,1390262533.48,62,2670,2460,16544,2483,2331,-6081,0,2
25,592,611017,611020,1390262540.48,1390262541.98,62,2501,2125,-12829,2487,2318,-3732,4,4
192,178,611021,611031,1390262542.48,1390262547.48,62,761,2346,-10254,811,2430,9115,1,10
25,192,611040,611042,1390262551.98,1390262552.98,62,954,3898,14127,763,3719,-7252,1,3
